Detailed Statistics Arrivals  
Destination Airport: Dallas/Fort Worth, TX: Dallas/Fort Worth International (DFW)
Airline: JetBlue Airways (B6)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","04/04/2024","0215","N3185J","BOS","18:23","00:00","268","0","0","00:00","0","0","0","0","0","0"
"B6","04/05/2024","0215","N3139J","BOS","18:23","18:23","268","254","0","18:06","17","0","0","0","0","0"
"B6","04/06/2024","0215","N3185J","BOS","18:19","18:09","266","248","-10","17:59","10","0","0","0","0","0"
"B6","04/07/2024","0215","N3112J","BOS","18:19","19:08","266","273","49","18:55","13","0","0","7","0","42"
"B6","04/08/2024","0215","N3139J","BOS","18:19","18:24","266","267","5","18:13","11","0","0","0","0","0"
"B6","04/09/2024","0215","N3112J","BOS","18:19","18:38","266","286","19","18:19","19","0","0","19","0","0"
"B6","04/10/2024","0215","N3145J","BOS","18:19","18:46","266","273","27","18:27","19","0","0","7","20","0"
"B6","04/11/2024","0215","N3145J","BOS","18:19","19:23","266","273","64","19:05","18","57","0","7","0","0"
"B6","04/12/2024","0215","N3058J","BOS","18:19","18:01","266","259","-18","17:39","22","0","0","0","0","0"
"B6","04/13/2024","0215","N3162J","BOS","18:19","18:07","266","250","-12","17:59","8","0","0","0","0","0"
"B6","04/14/2024","0215","N3112J","BOS","18:19","18:18","266","253","-1","18:04","14","0","0","0","0","0"
"B6","04/15/2024","0215","N3058J","BOS","18:19","18:28","266","269","9","18:11","17","0","0","0","0","0"
"B6","04/16/2024","0215","N3044J","BOS","18:19","18:11","266","255","-8","17:59","12","0","0","0","0","0"
"B6","04/17/2024","0215","N3185J","BOS","18:19","18:30","266","278","11","18:18","12","0","0","0","0","0"
"B6","04/18/2024","0215","N3104J","BOS","18:19","18:04","266","257","-15","17:46","18","0","0","0","0","0"
"B6","04/19/2024","0215","N3162J","BOS","18:19","18:16","266","268","-3","18:00","16","0","0","0","0","0"
"B6","04/20/2024","0215","N3169J","BOS","18:19","21:25","266","283","186","21:09","16","0","0","186","0","0"
"B6","04/21/2024","0215","N3185J","BOS","18:19","18:44","266","269","25","18:28","16","16","0","3","0","6"
"B6","04/22/2024","0215","N3185J","BOS","18:19","18:13","266","232","-6","18:01","12","0","0","0","0","0"
"B6","04/23/2024","0215","N3132J","BOS","18:19","17:52","266","244","-27","17:42","10","0","0","0","0","0"
"B6","04/24/2024","0215","N3085J","BOS","18:19","18:15","266","252","-4","18:02","13","0","0","0","0","0"
"B6","04/25/2024","0215","N3145J","BOS","18:19","18:06","266","260","-13","17:51","15","0","0","0","0","0"
"B6","04/26/2024","0215","N3142J","BOS","18:19","18:39","266","295","20","18:19","20","0","0","20","0","0"
"B6","04/27/2024","0215","N3132J","BOS","18:19","17:48","266","242","-31","17:35","13","0","0","0","0","0"
"B6","04/28/2024","0215","N3169J","BOS","18:19","18:45","266","300","26","18:32","13","0","0","26","0","0"
"B6","04/29/2024","0215","N3145J","BOS","18:19","18:09","266","257","-10","17:54","15","0","0","0","0","0"
"B6","04/30/2024","0215","N3145J","BOS","18:19","18:08","266","257","-11","17:51","17","0","0","0","0","0"
"B6","05/01/2024","0215","N3145J","BOS","15:34","18:03","260","260","149","17:49","14","143","0","0","0","6"
"B6","05/02/2024","0215","N3145J","BOS","15:23","15:16","260","251","-7","15:04","12","0","0","0","0","0"
"B6","05/03/2024","0215","N3152J","BOS","15:23","16:02","260","253","39","15:50","12","39","0","0","0","0"
"B6","05/04/2024","0215","N3149J","BOS","18:08","17:45","268","252","-23","17:30","15","0","0","0","0","0"
"B6","05/05/2024","0215","N3152J","BOS","15:23","15:12","260","251","-11","14:57","15","0","0","0","0","0"
